Interval End,Mains Elec kWh,MCC1 (kWh),MCC2 kWh (kWh), MCC3 (kWh),MCC4 (kWh),MCC6 (kWh),UV  (kWh),Blower 1 (kWh),Blower 2 (kWh),Blower 3 (kWh),MCC5 (kWh),Blower 4 (kWh),Blower 5 (kWh),Blower 6 (kWh),MCC4 kWh (kWh),MCC5 kWh (kWh),Bioreactor 2 kWh (kWh)
00:00:00,593.1612903225806,211.80645161290323,251.0,49.483870967741936,42.16129032258065,7.32258064516129,155.6451612903226,13.290322580645162,43.38035483870968,42.8312258064516,58.2249677419355,50.309225806451614,38.00322580645161,23.120387096774195,251.0,27.741935483870968,71.07870967741934
00:30:00,589.3564110245821,208.73686434142104,246.65092733589609,49.763189272515895,42.666733637792554,7.096455634723332,153.81902204834302,13.044884295570649,42.69644159660885,42.159485800291996,56.31676000630015,50.391095117492405,35.242335522431524,22.863288177320353,246.65092733589609,26.909027077102415,68.72102042609797
01:00:00,583.525806451613,205.48387096774192,243.6451612903226,49.83870967741935,43.064516129032256,6.774193548387097,152.06451612903226,12.741935483870968,41.519064516129035,41.48738709677419,54.63229032258065,50.64809677419355,33.38709677419353,23.011806451612898,243.6451612903226,25.967741935483872,67.36612903225806
01:30:00,576.1794863320323,203.1969171996057,243.80517165316377,49.40173880740338,42.360074519439586,7.0416642879638,149.08987333065977,12.039985550178685,40.46060319472317,40.49891551733346,54.40802441726426,50.47933046236947,33.67109207796527,23.503565573236386,243.80517165316377,25.4219928785512,67.23366204857818
02:00:00,569.5387096774191,200.93548387096774,243.83870967741936,48.87096774193548,41.774193548387096,7.096774193548387,145.41935483870967,11.451612903225806,38.73903225806452,39.734161290322575,54.856709677419346,50.21180645161292,34.0391935483871,23.953774193548387,243.83870967741936,24.677419354838708,67.30290322580645
02:30:00,565.8247354993525,197.75905181578366,240.45352661608905,48.66508756048324,42.52765795524742,6.1374296052358,141.57722183866593,11.48939595174436,35.57232633182637,39.733214644094296,55.19109349011429,50.17253501151661,32.43627330009943,23.977640963906488,240.45352661608905,23.139660812880738,66.553136314691
03:00:00,562.416129032258,194.25806451612902,235.67741935483872,48.83870967741935,43.25806451612903,5.580645161290323,138.16129032258064,11.580645161290322,32.373612903225805,39.53464516129033,55.29132258064515,50.61516129032258,29.1322258064516,23.819419354838708,235.67741935483872,21.838709677419356,65.4532258064516
03:30:00,556.6914555105622,191.0229654540795,231.5381847793343,49.4464455071166,42.60301000714035,6.84343549997624,135.76937628250582,11.152670997419687,30.556019459479977,38.17702242455228,55.03754367430809,51.793330436272825,24.396945540792977,23.72336283687308,231.5381847793343,21.804558373196645,64.47203619230802
04:00:00,549.5032258064517,188.16129032258064,228.1290322580645,50.0,41.774193548387096,8.225806451612904,134.32258064516128,10.64516129032258,29.450838709677424,36.70990322580645,54.440645161290334,52.80274193548389,20.10674193548386,23.618548387096773,228.1290322580645,21.93548387096774,63.774193548387096
04:30:00,541.7039507921137,185.78057481457813,225.5431711595181,50.01107810649463,41.98331425997496,8.027763846519663,133.74200433726674,10.497803870189145,28.38936336290666,36.182844356979096,53.511515431779124,52.739095274072255,18.13792442288458,23.434052982597002,225.5431711595181,21.129763141487754,63.52432395081571
