Interval End,Mains Elec kWh,MCC1 (kWh),MCC2 kWh (kWh), MCC3 (kWh),MCC4 (kWh),MCC6 (kWh),UV  (kWh),Blower 1 (kWh),Blower 2 (kWh),Blower 3 (kWh),MCC5 (kWh),Blower 4 (kWh),Blower 5 (kWh),Blower 6 (kWh),MCC4 kWh (kWh),MCC5 kWh (kWh),Bioreactor 2 kWh (kWh)
00:00:00,597.8000000000001,36.42857142857143,44.285714285714285,173.0,292.85714285714283,42.542857142857144,11.428571428571429,56.09871428571428,37.74999999999999,61.15957142857143,28.571428571428573,67.58942857142857,46.75714285714286,37.53814285714286,0.0,0.0,-25.997142857142855
00:30:00,600.1857142857142,37.857142857142854,43.57142857142857,169.85714285714286,293.85714285714283,42.75714285714286,13.571428571428571,51.82028571428571,37.85242857142857,63.15714285714285,25.0,67.52042857142857,46.717999999999996,37.725,0.0,0.0,-44.121428571428574
01:00:00,590.6428571428571,35.0,44.285714285714285,168.28571428571428,285.85714285714283,42.76714285714286,10.714285714285714,52.208285714285715,37.824999999999996,62.052428571428564,23.571428571428573,65.79885714285713,45.69885714285714,36.94171428571428,0.0,0.0,-54.410000000000004
01:30:00,578.9571428571428,36.42857142857143,44.285714285714285,163.14285714285714,272.42857142857144,41.21857142857143,10.0,51.04642857142857,37.36542857142857,59.750142857142855,19.285714285714285,65.78928571428571,41.83814285714286,31.32857142857143,0.0,0.0,-55.05571428571428
02:00:00,556.6,35.714285714285715,42.142857142857146,151.57142857142858,263.7142857142857,40.357142857142854,9.285714285714286,44.312000000000005,33.909571428571425,54.59285714285714,19.285714285714285,66.65357142857144,36.43928571428571,26.765571428571427,0.0,0.0,-53.57142857142857
02:30:00,534.5571428571428,36.42857142857143,44.285714285714285,141.0,263.2857142857143,39.894285714285715,10.0,35.523857142857146,30.109571428571428,56.73571428571428,20.714285714285715,67.15585714285716,37.96785714285714,21.865428571428566,0.0,0.0,-53.94142857142857
03:00:00,538.1571428571428,36.42857142857143,44.285714285714285,143.57142857142858,279.0,40.86714285714286,7.857142857142857,30.70585714285715,32.25471428571428,58.398857142857146,21.428571428571427,67.28457142857143,39.703714285714284,18.965428571428568,0.0,0.0,-56.17
03:30:00,565.9714285714285,36.714285714285715,45.0,155.57142857142858,294.0,42.94,12.428571428571429,38.583285714285715,38.07385714285714,53.477285714285706,25.428571428571427,67.37514285714285,40.01428571428571,18.89528571428571,0.0,0.0,-56.91142857142857
04:00:00,612.7857142857143,37.42857142857143,41.714285714285715,188.57142857142858,315.14285714285717,40.99285714285714,9.428571428571429,56.62385714285714,44.684571428571424,62.777428571428565,26.714285714285715,69.85000000000001,53.054857142857145,19.131,0.0,0.0,-56.05714285714286
04:30:00,657.4499999999999,36.875,45.0,200.625,334.0,38.18000000000001,14.375,57.471875,53.882374999999996,63.713625,28.125,75.77924999999999,59.73950000000001,29.864624999999997,0.0,0.0,-48.905
05:00:00,673.1249999999999,39.375,42.5,199.75,344.625,41.44624999999999,13.125,55.40212500000001,49.501124999999995,68.655125,31.25,69.86775,53.577000000000005,46.70825000000001,0.0,0.0,-62.066250000000004
05:30:00,686.225,36.25,44.375,200.75,348.125,43.397499999999994,13.75,60.813625,49.675,65.970875,34.375,68.65425,51.056250000000006,49.67825000000001,0.0,0.0,-74.76125
06:00:00,683.2874999999999,39.375,43.125,201.75,343.375,41.85125,15.0,64.351125,49.63125,65.877125,31.25,68.49387499999999,50.82700000000001,49.49175,0.0,0.0,-73.3025
06:30:00,680.9875000000001,36.875,44.375,204.125,342.625,41.52374999999999,11.25,63.60724999999999,49.657375,65.05337499999999,33.75,70.97625,51.383375,50.02075000000001,0.0,0.0,-71.325
07:00:00,680.8249999999999,38.125,43.125,203.125,342.5,41.333749999999995,15.0,64.50512499999999,49.6135,65.9395,29.375,72.21137499999999,51.8895,50.53962500000001,0.0,0.0,-73.48875
07:30:00,677.25,37.5,44.375,203.5,339.875,38.783750000000005,11.875,64.95,49.67825,66.4915,31.25,71.07175000000001,51.17700000000001,49.884375000000006,0.0,0.0,-74.7925
08:00:00,664.2625,37.5,44.375,197.625,321.25,38.6825,13.125,63.77825,49.65112499999999,65.30537500000001,28.75,71.70949999999999,51.101000000000006,49.875125,0.0,0.0,-72.76875000000001
08:30:00,644.4124999999999,37.5,42.5,193.875,317.125,36.25,11.875,62.595875,49.474875,63.92075,27.5,72.553125,51.014624999999995,49.7,0.0,0.0,-72.01875
09:00:00,633.9124999999999,36.875,45.0,189.0,310.375,35.3825,13.125,61.68025,44.88862499999999,63.0385,30.625,68.655125,54.027000000000015,43.66975,0.0,0.0,-73.01125
09:30:00,625.3874999999999,37.5,43.75,187.0,305.125,39.96875,13.125,63.964625000000005,41.204125,65.27387499999999,31.25,67.156375,49.85625,40.601,0.0,0.0,-72.72375
10:00:00,620.9124999999999,38.125,45.0,186.0,301.625,42.63999999999999,13.75,61.303000000000004,41.275999999999996,65.750125,30.625,67.41137499999999,47.068749999999994,39.960499999999996,0.0,0.0,-66.485
10:30:00,624.975,38.125,42.5,190.0,304.375,40.81125,14.375,64.074125,41.27824999999999,65.34887499999999,32.5,67.37700000000001,50.033249999999995,40.31037499999999,0.0,0.0,-48.402499999999996
11:00:00,627.5749999999999,37.5,44.375,186.125,304.0,41.974999999999994,11.875,63.729124999999996,41.22699999999999,64.99074999999999,30.0,66.81150000000001,52.92500000000001,40.496874999999996,0.0,0.0,-37.66
